fewsparameter;2130-EAG-1;2150-EAG-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLUOGROE;;;;38.2;337;2.923333333;34.5;;85.8;20.8;154;3.280768896;166;20.5;136;;13.6;96.8;35.1;41.4;;40.175;24.75;40;37;4.2;113.2958333;298.3666667;1.458333333;;75.73928571;34.48333333;21.22916667;19.49166667;0.872222222;0.25;0.763398693;78.93;11.59166667;21.75833333;33.95;71.3625;18.26666667;22.01342593;3.366666667;18.16875;;37.625;16.2;12.85;22.125;41.96666667;11.65;29.26666667;14.81041667;2.316666667;25.875;3.4125;25.12083333;14.53333333;26.04722222;;;27.79;21.8;82.3;;40.6;3.483333333;30.65;190.6166667;45.45;;63.31666667;7.616666667;6.84;;;;13.5;69.1;28.76944444;9.7;33.97777778;29.35;10.75277778;21.37777778;9.622222222;7.21;1.366666667;38.18333333;6.141666667;4.711111111;0.543571429;8.166666667;12.02777778;16.04722222;13.2875;40.8;58.86666667;44.1;;;15.68055556;3.396111111;26.73055556;29.57083333;23.875;13.375;11.9;20.1;10.89166667;13.17769231;21.35138889;14.82222222;4.266666667;13.85;13.94791667;19.59444444;13.04444444;17.47777778;16.55224172;24.21666667;;22.36666667;2.680555556;0.85;4.2;16.1;13.9;10;23.74375;15.05185185;62.45;8.1125;30.57704248;57.23333333;23.83333333;67.675;16.2;10.72777778;4.56429878;33.04444444;20.77777778;26.4375;94.57777778;16.78333333;4.288375604;17.5;40.8;;29.6;0.25;2.833333333;8.3;16.5;9.625;14.5;16.8;21.3;26.2;22.05;26.65;22.4;19.4;14;14.73333333;16.06666667;17.8;;12;5.133333333;14.11666667;3;3.158333333;7.016666667;8.3;15.5;10.65416667;29.8;32.56666667;13.95833333;33.61111111;7.466666667;8.291666667;116.3;5.9;1.65;;;2.975;;7.677222222;15.3875;9.525;;;;15.85;5.05;;14.89166667;2.616666667;7.733333333;228.5;14.1;;;33.175;36.4;8.587962963;19.58333333;4.825;3.183333333;2.941666667;0.25;20.61666667;;6;;;;;9.2;28.83333333;6.85;;19.3;534;33.9;40.5;29.3;94.1;23.55;20.95;22.1;0.64901219;13.96944444;38.1;15.8;19.2;;;;
FLUOHUM;;;;0.125;0.125;3.227777778;4;;4.2;7.6;8.3;2.588501393;29.2;8.4;8.6;;19;23.9;5.4;18.1;;8.375;4.85;6.6;5.6;4.4;12.89375;36.1;8.95;;10.25;12.63541667;6.270833333;7.505555556;4.861111111;2.866666667;2.612651727;7.804545455;5.475;7.316666667;7.984375;6.460416667;9.35;7.868518519;6.2;5.2625;;10.44166667;7.566666667;8.1;9.075;12.5;9.966666667;8.316666667;6.335416667;5.716666667;8.6375;7.125;3.183333333;4.483333333;4.65625;;;5.645;4;14.6;;7.65;8.666666667;7.316666667;7.833333333;7.016666667;;8.7;8.283333333;3.18;;;;4.7;8.9;3.055555556;6.2;2.866666667;3.344444444;4.972222222;5.434027778;5.833333333;6.66;4.366666667;6.770833333;6.975;6.733333333;1.434761905;10.76666667;2.888888889;4.002777778;5.81875;6.3;1.733333333;3.4;;;4.475925926;1.741388889;2.765925926;3.7375;4.95;3.491666667;4.5;5.3;5.833333333;3.733027066;5.255555556;5.044444444;5.633333333;3.327777778;3.399305556;4.088888889;4.516666667;4.277777778;3.96754386;6.016666667;;10.12222222;3.733333333;1.925;3;5;0.125;13.7;5.629166667;3.725;5.58125;1.86875;3.120363562;18.18333333;5.0875;3.73125;4.866666667;2.95;1.731199187;4.133333333;5.95;7.041666667;16.95833333;4.591666667;4.322463768;4.7;3.55;;0.9;2.6;1.458333333;6;5.5;4.15;6.2;3.9;7.1;2.6;6.35;6.95;4.05;4.4;7.4;8.266666667;5.366666667;7.1;;6.2;8.416666667;7.5;5.9;5.766666667;4.75;8.8;9;5.366666667;0.125;3.230555556;5.825;4.277777778;5.983333333;4.05;2.3125;2.4;3.2;;;7.383333333;;2.385555556;2.891666667;7.516666667;;;;4.1875;3.15;;5;8.333333333;3.85;9.916666667;7.1;;;9.35;7.783333333;6.5;5.808333333;6.672222222;3.866666667;3.583333333;3.6;7;;4.7;;;;;3.4;4.666666667;5.3;;7.5;12.8;5.2;7.1;4.3;18.9;4.65;4.3;5.8;3.410010042;5.672222222;7.4;7.2;5.4;;;;
FLUOTOT;;;;207;610;5.728333333;102;;118;50.7;376;10.23778736;237;39.4;227;;39.9;312;73.9;180;;104.7083333;56.1;71.9;94.2;7.8;148.7458333;339.8666667;7.508333333;;105.8071429;86.64166667;42.7625;39.4;4.544444444;1.447222222;2.091456583;144.1613636;20.49166667;36.8;52.89166667;92.58333333;40.13333333;44.27685185;10.31666667;39.39583333;;56.39166667;44.45;30.71666667;44.55833333;75.56666667;31.6;70.11666667;30.76666667;5.316666667;133.1833333;6.458333333;41.65416667;26.57777778;34.73101852;;;52.28;43;203;;81.16666667;9.2;80.33333333;290.8833333;101.2;;123.5666667;17.85;21.94;;;;25.6;72.3;35.53333333;28.9;42.25555556;39.78333333;16.48888889;102.8722222;19.49444444;14;3.583333333;79.25;19.51666667;12.78333333;14.30333333;12.91666667;18.48611111;27.38611111;26.70833333;67.6;104.5333333;80.3;;;27.87037037;12.13222222;56.72740741;59.525;50.43333333;53.17916667;27.8;25;15.46666667;46.02459402;46.27777778;29.93333333;9.9;45.48333333;42.68472222;40.92777778;24.16111111;33.82222222;46.15662768;48.43333333;;50.14074074;6.016666667;2.358333333;7.9;27.4;81.9;15.8;60.61666667;32.36759259;92.775;17.11666667;56.19174837;83.66666667;46.73333333;104.6083333;31.93333333;23.66111111;11.15786585;68.14444444;66.84444444;73.925;146.6611111;41.75;7.912137681;28.1;116.3;;47.1;3;14.25833333;24.35;34.8;13.5;21.65;33.9;47.3;38.7;45.05;66.2;51.75;53.7;44.5;42.23333333;57.33333333;76.5;;44.6;10.23333333;28.75;7.2;9.3;10.71666667;13.7;28.1;45.8;45.6;65.93333333;27.93333333;64.52222222;30.33333333;26.98333333;193.9;6.7;4.3;;;9.866666667;;17.45444444;43.025;33.75;;;;56.68333333;20.2;;39.43333333;76.11666667;29.05;405.15;48.7;;;85.85;63.56666667;18.94722222;62.50555556;14.99444444;57.53333333;9.15;6.3;38.21666667;;34.8;;;;;15.7;72.56666667;11.3;;83.2;622;66.2;53.3;138;166;66.4;43.3;74;10.94105366;41.68333333;79;69.1;54.8;;;;
FLZN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FNXCB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
folpt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FORT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FTLNL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GELDHD;108.6428571;95;107.5555556;88.11111111;598.5833333;89.43913271;;58.49814815;;69.13888889;308.4285714;252.0021645;;133.9166667;410.2222222;298.25;;206.9444444;90.41666667;155.8888889;120.4166667;152.75;82;62.88888889;188.3888889;70;221.2857143;;;115.3333333;109.4305556;118.5833333;130.9621693;96.38888889;105.6666667;91.72222222;105.7100816;104.5305011;;67.33333333;60;161.7222222;123.3888889;57.33333333;;49.8;20.20833333;54.5625;92.44444444;73.33333333;124.6904762;;176.1111111;79.33333333;397.3696581;256.4166667;348.3333333;92.08333333;282.2777778;304.2222222;254.3194444;297.2083333;221.6742424;132.5888889;82.44444444;;128.4444444;;;;68.23809524;73.58333333;91.25;58.66666667;;70.41823653;73.71428571;101.3333333;84.3875;61.94444444;66.77777778;59.29365079;77.94444444;52.83333333;61.66111111;49.27777778;52.38888889;;90.88888889;64.66666667;33;48.33333333;189.3333333;59.878367;68.33333333;41.86111111;58.33333333;68.11111111;76.66666667;41;46;491.8611798;66.72222222;31.62962963;50.67738791;52.57407407;87;52.55555556;49.81481481;59.44444444;;60.55555556;40.31523379;27.97222222;31.38888889;23.27777778;37.94444444;38.23161765;31.33333333;28.77777778;28.66666667;32.59150327;25.19444444;56.83333333;30.19444444;27.11655773;51.16666667;55.61111111;;;;48.16666667;35.38888889;54.83333333;25.58333333;53.21078431;53.33333333;46.33333333;56.38888889;63;42.69444444;43.95964763;29.72222222;27.61111111;37.66666667;25.16666667;28.63257576;30.98412698;;59.41666667;57.22222222;49.83333333;;49.5;49.66666667;;;;;100.1111111;44.5;99.05555556;95.35185185;83.44444444;73.92063492;85;107.4166667;155.4722222;146;142.3888889;71;99.22222222;;;;;158.0555556;;63.27777778;38.38888889;39.88888889;52.91374269;48.72222222;66.05555556;44.96296296;84.26984127;29.38888889;633.5;155.1666667;69;383.75;115.3333333;255.8611111;621.75;252.0833333;124.3119658;127.2777778;75.5;66.11616162;67.38888889;69.16666667;62.75;;66.5;;71;76.66666667;85.33333333;90.69444444;;82.5;;77.75;58.08333333;65.8125;55.77777778;75.48148148;52.61111111;45.86111111;131;66;59.75;32.88888889;34.14583333;107.1666667;122;103.7222222;138.3333333;;116.1407407;84;107.5;124;99.88888889;105.5;88.88888889;85.43873573;89.17814815;91.88888889;68.88888889;72.05555556;97.33333333;120.1666667;145;65.5
GRZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.39583333;;;;15.23611111;18.65277778;23.19444444;32.69444444;28.47222222;15.98611111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;42.5;40.5;41;55;36;;;;;;;;;;;;;;33.08333333;39.06666667;;41.8;;;;;68.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;;;;;42.61363636;;;;;;;;
HCO3-1;286.25;308.75;452.2222222;310.8333333;330;235.3803419;;;;240.5;427.5;163.9583333;;323.3333333;403.5416667;485.8333333;;368.3333333;245.8333333;489.1666667;343.75;206.25;285.5555556;210.8333333;370;250;333.75;;;270.6666667;142.175;262.5;367.2331155;273.3333333;268.3333333;190.8333333;193;329.3434343;;242.5;187.5;582.5;368.3333333;183.75;;139.9038462;50;198.125;320.8333333;261.6666667;396.6666667;;394.1666667;280;460.4166667;428.3333333;380;356.75;236.25;273.6111111;230.5;309.5;303.962963;181.5555556;304.1666667;;461.25;;;;237.1825397;267.5;300;180.8333333;;179.3864734;158.375;253.75;207.5;239.1666667;285.8333333;116.1;250.5555556;106;180.0777778;137.5;150.4166667;;303.6666667;185.8333333;140;108.5;230.2380952;113.45;238.3333333;71.375;146.6666667;196.1111111;210.8333333;118.5;160;273.3333333;269.4444444;125.1111111;130.4166667;182.6851852;;187.5;163.3333333;246.6666667;;227.5;153.6111111;137.254902;138.0666667;86.44444444;141.6666667;147.5;119.1666667;118.1666667;125.4166667;112.5;86.13333333;210;178.3333333;170.9150327;227.5;288.3333333;;;;218.125;140.4166667;240.8333333;87.5;287.0833333;278.3333333;188.3333333;240;330;169.7222222;186.25;135.5555556;119.9166667;134.5;150.7777778;126.9393939;170.484127;;180.8333333;225;136.6666667;;141.25;163.3333333;;;;;217.7777778;132.7777778;223.0555556;208.7037037;166.6666667;186.6666667;198.8888889;251.6666667;378.3333333;460;410.8333333;270;227.5;;;;;239.1666667;;191.6666667;123.3333333;126.6666667;186.8425926;177.5;190;172.2916667;205;31.5;;495;318.3333333;388.75;503.3333333;179.375;170;607.5;382.0833333;399.1666667;195;220.037037;224.1666667;221.25;263.75;;255;;301.25;277.5;235;200;;250;;173.75;221.5;236.25;;292.9583333;237.7777778;212.4722222;;220;;130.9444444;144.1666667;317.7777778;550;;405.8333333;;534.2857143;340;464.1666667;374.1666667;;380;354.1666667;246.0386473;317.6349206;338.75;336.6666667;257.5;393.3333333;453.3333333;480;331.6666667
HEPTNP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HEXTAZX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;0.04;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;;;;;;;;;;0.0025;;;;0.01;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;0.0025;;;;;;;;;;0.0025;0.0025;;;;;;;;;;
HG-1;0.0025;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;0.0025;;;;;;;0.0025;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;0.0025;;;;;;;;;;0.0025;0.0025;;;;;;;;;;
IMAZLL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMIDCP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.006833333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ipcb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ipDon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IPTRN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
irgrl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KJN;2.425;3.15;2.494444444;4.066666667;2.858333333;1.473862434;;;;2.491666667;5.138888889;1.27962963;;2.558333333;3.916666667;3.05;;3.566666667;1.508333333;4.166666667;2.775;2.783333333;2.566666667;1.288888889;2.877777778;2.6;4.175;;;8.066666667;7.490277778;2.708333333;3.611481481;2.808333333;1.538888889;1.238888889;1.16984127;4.381590414;;3.022222222;2.179166667;7.5;4.005555556;2.516666667;;2.58;2.883333333;3.672916667;2.866666667;2.572222222;4.222222222;;3.733333333;2.333333333;5.497222222;10.21666667;3.033333333;4.716666667;1.544444444;1.858333333;1.579166667;3.504166667;2.872727273;3.408888889;2.816666667;;4.391666667;;;;10.93412698;2.908333333;3.425;3.961111111;;1.309027778;2.266666667;2.075;1.568333333;2.25;2.083333333;1.344444444;2.072222222;1.538888889;1.741666667;1.616666667;2.694444444;;2.269444444;2.391666667;2.916666667;3.327777778;2.027777778;0.982539683;3.05;1.477777778;1.466666667;1.561111111;3.727777778;6.65;3.7;1.688888889;2.761111111;2.07962963;0.912777778;1.618981481;;1.85;1.278240741;1.944444444;;1.955555556;1.516666667;1.886111111;2.158333333;2.2;1.522222222;1.533333333;1.722222222;1.511111111;1.555555556;2.422222222;2.205555556;2.041666667;1.7;1.625925926;1.491666667;2.372222222;;;;2.383333333;1.888888889;2.725;1.3;2.627777778;4.116666667;3.1;3.333333333;3.7;1.125;0.92;1.761111111;2.063888889;2.425;2.9;1.9125;1.388888889;;1.783333333;2.3;1.066666667;;1.191666667;1.861111111;;;;;1.969444444;1.3;1.772222222;1.755555556;2.211111111;1.661111111;1.616666667;2.230555556;3.061111111;5.1;2.111111111;2.5;2.255555556;;;;;2.811111111;;1.838888889;1.677777778;2.177777778;1.909259259;1.838888889;1.766666667;1.927777778;1.416666667;2.322222222;1.2;2.616666667;2.016666667;2.158333333;3.533333333;1.135416667;1.341666667;2.608333333;2.7;3.55;4.216666667;2.055252525;1.494444444;1.891666667;2.158333333;;2.444444444;;7.05;1.516666667;1.866666667;2.138888889;;2.355555556;;1.95;1.541666667;1.908333333;1.438888889;2.521296296;1.211111111;1.163888889;2.425;1.366666667;1.091666667;1.016666667;1.95;1.805555556;1.6;1.805555556;2.061111111;;4.637037037;2.4;3.433333333;4.555555556;1.861111111;1.7;2;1.085400517;2.252407407;2.038888889;2.511111111;2.066666667;1.75;2.7;1.583333333;1.833333333
KRESOXMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LICHTINT0;;;;;;767.6166667;;;;;;845.8777778;;;;;;;;;;;;;;;;;;;;;;;538.1333333;460.8777778;386.7277778;;;;;;;;;;;;;;;;;;;;;;382.8166667;;;;;;;;;;;;;;;;;235.7;;;;;;796.7222222;;572.8;498.5555556;627.2;654.0777778;;;;;;;288.6277778;;668.3383838;792.3;;;;;;;551.6111111;429.5611111;470.0611111;;;;;;;875.0555556;;;;838.7277778;879.6722222;735.3055556;286.52;332.8;412.35;;;;;556.8083333;;;;;730.6958333;418.9083333;;675.1333333;;;;;;395.0666667;631.275;;428.0222222;354.8333333;;761.85;;;;;413.2166667;;781.8833333;;;;;;;;;;;;;;;;;;;;;;;;;;414.5555556;414.8888889;;461.5555556;;;;;;;;;;457.4758333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;575.6717949;;;;;;;;
LICHTINT1;;;;;;156.6127778;;;;;;203.2977778;;;;;;;;;;;;;;;;;;;;;;;197.9722222;129.1222222;168.8833333;;;;;;;;;;;;;;;;;;;;;;147.3;;;;;;;;;;;;;;;;;88.7;;;;;;462.7111111;;371.4888889;300.0944444;406.3444444;324.2111111;;;;;;;75.38888889;;386.9919192;583.51;;;;;;;332.9666667;95.79444444;237.7240741;;;;;;;232.0305556;;;;364.7722222;350.6383333;253.2361111;194.9833333;207.9166667;152.9361111;;;;;270.575;;;;;242.2625;186.4194444;;351.7916667;;;;;;250.95;154.4;;173.6611111;184.05;;404.1566667;;;;;180.0083333;;199.6833333;;;;;;;;;;;;;;;;;;;;;;;;;;186.8666667;160.4888889;;184.3611111;;;;;;;;;;122.2384722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103.3574786;;;;;;;;
LICHTINT2;;;;;;51.15111111;;;;;;78.43388889;;;;;;;;;;;;;;;;;;;;;;;67.56111111;60.42222222;81.01944444;;;;;;;;;;;;;;;;;;;;;;64.43055556;;;;;;;;;;;;;;;;;52.3;;;;;;298.2888889;;271.3644444;179.3055556;297.3777778;232.9111111;;;;;;;29.68333333;;228.8878788;395.46;;;;;;;176.6333333;37.20555556;121.4203704;;;;;;;75.90972222;;;;161.825;149.9161111;86.46666667;110.87;125.75;69.89444444;;;;;160.8666667;;;;;107.375;105.5611111;;217.4333333;;;;;;158.1944444;47.04083333;;74.12222222;109.9583333;;210.0916667;;;;;100;;52.18;;;;;;;;;;;;;;;;;;;;;;;;;;106.2055556;68.33888889;;75.37222222;;;;;;;;;;39.63541667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.57850427;;;;;;;;
LICHTINT3;;;;;;15.29222222;;;;;;29.14388889;;;;;;;;;;;;;;;;;;;;;;;33.31111111;30.45;50.80277778;;;;;;;;;;;;;;;;;;;;;;28.94444444;;;;;;;;;;;;;;;;;31.6;;;;;;189.15;;211.3488889;114.6111111;185.6666667;129.8555556;;;;;;;12.97777778;;123.8570707;273.09;;;;;;;98.54333333;15.39444444;74.76481481;;;;;;;24.29722222;;;;81.21944444;64.91111111;38.34166667;83.46;81.35277778;17.31111111;;;;;100.6166667;;;;;50.18333333;68.03888889;;142.4916667;;;;;;106.1111111;15.52833333;;40.81111111;70;;129.25;;;;;61.55833333;;15.33083333;;;;;;;;;;;;;;;;;;;;;;;;;;61.44444444;32.26111111;;34.41111111;;;;;;;;;;16.92069444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.8817735;;;;;;;;
LICHTINT4;;;;;;6.28;;;;;;13.21444444;;;;;;;;;;;;;;;;;;;;;;;15.92777778;15.60277778;35.29444444;;;;;;;;;;;;;;;;;;;;;;15.54722222;;;;;;;;;;;;;;;;;21;;;;;;133.7166667;;126.42;78.92222222;124.5055556;72.33333333;;;;;;;6.344444444;;82.55454545;150.1;;;;;;;57.53666667;6.705555556;48.81851852;;;;;;;7.897222222;;;;40.52333333;22.63611111;16.00722222;42.82333333;56.175;6.461111111;;;;;71.15833333;;;;;24.0875;49.18611111;;79.66666667;;;;;;61.95555556;5.7025;;25.19444444;47.125;;83.44416667;;;;;37.45;;5.236666667;;;;;;;;;;;;;;;;;;;;;;;;;;36.31111111;14.22777778;;18.16666667;;;;;;;;;;5.759166667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.326688034;;;;;;;;
LINRN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
