gebied;gebiednaam;gebiednaamkort;toetsgebied;KRWWaterlichaamcode;KRWmonitoringslocatie;KRWWatertypeToetsing;KRWWatertypeWBP;KRWWatertypeVoorstel;KRWWatertypeAlternatiefA;KRWWatertypeAlternatiefB;Opmerking1;Opmerking2;OppervlakLandWater;OmtrekWater;OppervlakWater;OppmerkingOpp
3311-EAG-8;Bethunepolder,;Bethunep;OvWa_3311-EAG-8_Bethunep;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF3311;116098;5106;9628;
3311-EAG-9;Bethunepolder,;Bethunep;OvWa_3311-EAG-9_Bethunep;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF3311;677405;33316;47729;
8110-EAG-1;Begraafplaats Vredenhof;Begraafp;OvWa_8110-EAG-1_Begraafp;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;54182;1654;3339;
2570-EAG-2;Baambrugge Westzijds, Schrobberpolder;Baambrug;OvWa_2570-EAG-2_Baambrug;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF 2570;830774;17032;25289;
2570-EAG-1;Baambrugge Westzijds, polder;Baambrug;OvWa_2570-EAG-1_Baambrug;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF 2570;5386153;175382;330447;
2330-EAG-1;Baambrugge Oostzijds (west);Baambrug;OvWa_2330-EAG-1_Baambrug;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1393604;50494;103080;
6430-EAG-1;Baambrugge Oostzijds;Baambrug;OvWa_6430-EAG-1_Baambrug;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;7252899;278368;429481;
4110-EAG-1;B.O.B.M.-polder en Buitendijken tussen Muiderberg en Naarden, B.O. bemalen;B.O.B.M.;OvWa_4110-EAG-1_B.O.B.M.;NVT;NVT;M1a;M8;M1a;M1b;M8;;Overgenomen van GAF 4110;2357987;39833;85398;
4110-EAG-2;B.O.B.M.-polder en Buitendijken tussen Muiderberg en Naarden, B.O. (oost);B.O.B.M.;OvWa_4110-EAG-2_B.O.B.M.;NVT;NVT;M1a;M8;M1a;M1b;M8;;Overgenomen van GAF 4110;324966;4994;18306;
2050-EAG-1;Atekpolder, Atekpolder;Atekpold;OvWa_2050-EAG-1_Atekpold;NVT;NVT;;;M10;;;niet meegenomen in analyse watertypen, schatting;KRWWaterTypes en Opmerking1 overgenomen uit 2016;26343;602;783;
6450-EAG-3;Aetsveldse Polder west, zuid;Aetsveld;OvWa_6450-EAG-3_Aetsveld;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;258882;7602;8488;
6450-EAG-2;Aetsveldse Polder west, fort;Aetsveld;OvWa_6450-EAG-2_Aetsveld;NVT;NVT;M1a;M1a;M3;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;48506;1408;29081;
6450-EAG-1;Aetsveldse Polder west, bemalen;Aetsveld;OvWa_6450-EAG-1_Aetsveld;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2470457;81544;110042;
6490-EAG-1;Aetsveldse Polder west (Driemond), Driemond;Aetsveld;OvWa_6490-EAG-1_Aetsveld;NVT;NVT;;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;67417;730;1060;
6540-EAG-3;Aetsveldse Polder Oost, stedelijk Weesp;Aetsveld;OvWa_6540-EAG-3_Aetsveld;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1556893;30919;78954;
6540-EAG-2;Aetsveldse Polder Oost, blokbemaling;Aetsveld;OvWa_6540-EAG-2_Aetsveld;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;591821;17770;23797;
6540-EAG-1;Aetsveldse Polder Oost, bemalen;Aetsveld;OvWa_6540-EAG-1_Aetsveld;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;6446497;236188;349574;
