koppelnummer;DBID;Namespace;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaamNaam2021;LokaalID;Naam;SGBPPeriode.omschrijving;UitvoeringIn;Toelichting;KRWMaatregel.code;KRWMaatregelNiveau.code;KRWStroomgebiedDistrict.code;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.code;Initiatiefnemer.naam;Initiatiefnemer.waternet;EUFonds.code;Kosten;RelatieMetNatura2000Gebied;RelatieMetWaterwinning;KTM.Code;KTM.omschrijving;Kwaliteitselementen;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;Investeringskosten;beheerEnOnderhoudsKosten;interneKosten;Type maatregel voor doelen-model;Opmerkingen GtH;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);Bestuur AGV;Bestuur andere overheid;Contactpersonen;esf;OmvangWaternet;eenheid;litteratuurverwijzing;wkp;Effect verwacht vanaf;HoortbijKRWWaterlichaam_oud;aangepast
585;;NL11;NL11_5_9;Vuntus;;Verwijderen van de voedselrijke waterbodem in de Vuntus;SGBP3 2021-2027;2021-2027;;RO07;WB;;;n;;;Onbekend;Provincie Noord-Holland of Waterschap Amstel, Gooi en Vecht;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;eigenlijk moet de reductie eerst nog opgeteld worden bij de balans;bestuurlijke keuze provincie en waterschap Amstel, Gooi en Vecht;Gemeente Wijdemeren, Waterschap Amstel Gooi en Vecht;SGBP3 of gebiedsakkoord;SGBP3 of gebiedsakkoord;Jacques van Alphen, Thijs Stam;ESF1, ESF3;0.2;mg/m2/dag;;0;2027;NL11_5_1;
664;;NL11;NL11_5_9;Vuntus;;Beperken van de fosfaatbelasting in combinatie met het polder doorstroomprincipe ;SGBP3 2021-2027;2021-2027;Het gaat om upflow fosfaatfilters in de Ster, Weersloot en Tomin-stuw. Alleen de filter bij de Tomin-stuw heeft invloed op de fosforbelasting van dit waterlichaam. De overige twee installaties hebben vooral effect op Loosdrecht. Deze maatregel heeft ook invloed op ESF4, habitatgeschiktheid omdat macrionen uit kwelwater beter benut kunnen worden.;IM12;WB;;3;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;planvorming;Gemeente Amsterdam;;;;ESF1;0.05525;mg/m2/dag;;0;2020;NL11_5_1;LM_20190916
582;;NL11;NL11_5_9;Vuntus;;Vastleggen van geboden en verboden in KEUR en beheer en onderhoudsplan voor polder Muyeveld. ;SGBP3 2021-2027;2021-2027;Het is niet wenselijk dat grote delen van de plas worden gemaaid. Daarom zou een maximum areaal dat gemaaid mag worden in de ondiepe zone tussen 0-1 en 1-3 meter, plaggen en verwijderen van overhangend groen zou als geboden moeten vastgeled en geen overkluizing en beschoeiing zijn meer toegestaan.;S06;MW;;;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;geen investering maar operationele kosten;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;voor handhaving, jurist, verwerken KEUR;Instrumentele maatregel;;aanpassen beleid KEUR: bestuurlijke keuze;Recreatie Midden-Nederland, Natuurmonumenten;SGBP3;;;ESF1, ESF2, ESF6, ESF7;1;n;;0;2027;NL11_5_1;LM_20190916
235;71380;NL11;NL11_3_9;Waterleidingplas;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;SGBP1 2009-2015;2009-2015;Een gebiedsbrede maatregel in alle waterlichamen;BE03;MW;;30;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;;;;;Macrofauna_Overige Waterflora_Vis;0;0;325;0;0;0;;;;Natuurvriendelijk onderhouden EMERS;;uitgevoerd;geen;;;;ESF4;0;1/0;;1;2016;NL11_3_9;LM_20190916
236;71341;NL11;NL11_3_9;Waterleidingplas;91076;Beperken juveniele ganzen door eieren rapen;SGBP1 2009-2015;2009-2015;Het betreft het rapen van eieren om de graas door ganzen en daarmee de belasting van het milieu in het gebied te beperken.Dit is een voortzetting van de maatregel die al in de periode 2007-2009 is uitgevoerd.;BE08;MW;;1;n;j;;Gemeente;Gemeente Amsterdam;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=3000.00;NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis;0;0;1;0;0;0;;;;Ganzen beheren;;uitgevoerd;;;;;ESF6;0;1/0;;1;2016;NL11_3_9;LM_20190916
237;76535;NL11;NL11_3_9;Waterleidingplas;AMS-x;Beperken juveniele ganzen  (voortzetting);SGBP2 2015-2021;2015-2021;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Terra Nova, Loenderveen-Oost en Waterleidingplas. ;BE08;MW;;1;n;j;;Gemeente;Gemeente Amsterdam;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_95|NL_VOG_95;;KTM20;;Macrofauna_Overige Waterflora_Vis;0;1;0;0;0;0;;;;Ganzen beheren;;in uitvoering;;;;;ESF6;0;1/0;;1;2016;NL11_3_9;
588;;NL11;NL11_3_9;Waterleidingplas;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud van watergangen;SGBP3 2021-2027;2021-2027;De KEUR zou gebiedsspecifiek moeten toelaten dat watergangen minder frequent of niet worden geschoond, om flora en fauna te sparen in poldersloten of om verlanding toe te laten in natuurgebieden. De invulling hiervan wordt uitgewerkt in het beheer en onderhoudsprogramma van AGV. Bij vervangen van beschoeiing moet vegetatie zoveel mogelijk worden gespaard.;S06;MA;;;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;geen investering maar operationele kosten;;;;;Macrofauna_Overige Waterflora_Vis;0;1;0;0;0;0;;;voor planadvies, jurist, verwerken KEUR;Instrumentele maatregel;;bestuurlijk vastgesteld;Gemeente Wijdemeren, Provincie Noord-Holland;Beheer en onderhoudsprogramma;;;ESF4, ESF6;1;1/0;;0;2027;NL11_3_9;GH_20191205
586;;NL11;NL11_3_9;Waterleidingplas;AMS-x;Beperken juveniele ganzen (voortzetting);SGBP3 2021-2027;2021-2027;Door ganzenbeheer krijgen met name rietoevers meer kans om tot ontwikkeling te komen, wat belangrijk is voor de instandhouding van de populatie Grote Karekiet en andere moerasvogels (Natura2000-doel). De gemeente Amsterdam neemt noodmaatregelen (afvangen van ruiende ganzen en plaatsen van rasters bij bedreigde rietkragen), vooruitlopend op een structurele aanpak. Bij de aanleg van natuurvriendelijke oevers is het belangrijk jonge aanplant te beschermen (bijvoorbeeld met gaas) tegen vraat.;BE08;MW;;1;n;;;Gemeente;Gemeente Amsterdam;;;;;KTM20;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Ganzen beheren;;afweging financiele bijdrage: bestuurlijke keuze;;;SGBP3;;ESF6;1;1/0;;0;2016;NL11_3_9;
587;;NL11;NL11_3_9;Waterleidingplas;;Ganzen structureel beheren door populatiebeperking;SGBP3 2021-2027;2021-2027;Een maatregel in alle WLen waar een sterke graasdruk op helofyten bestaat. Door ganzenbeheer krijgen met name rietoevers meer kans tot ontwikkeling te komen, wat belangrijk is voor de instandhouding van de populatie Grote Karekiet en andere moerasvogels (Natura2000-doel). De provincie neemt noodmaatregelen (afvangen van ruiende ganzen en plaatsen van rasters bij bedreigde rietkragen), vooruitlopend op een structurele aanpak. Bij de aanleg van natuurvriendelijke oevers is het belangrijk jonge aanplant te beschermen (bijvoorbeeld met gaas) tegen vraat.;BE08;MW;;;n;;;Provincie;Provincie Noord-Holland;;;;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Ganzen beheren;;bestuurlijke keuze provincie;;;SGBP3;;ESF6;1;ja/nee;;0;2027;NL11_3_9;GH_20191210
267;76529;NL11;NL11_2_12;Westveen;;Omleiden / scheiden waterstromen Amstellandboezem;SGBP2 2015-2021;2015-2021;Voorheen: Aanleggen schoonwaterkering Kromme Mijdrecht. Deze maatregel wordt genomen in de Amstellandboezem, maar heeft ook positief effect voor Vaarten Zevenhoven en Tussenboezem Vinkeveen a en b. ;IN02;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;#N/B;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;1;0;0;0;0;0;;;;P-belasting verlagen;;in uitvoering;geen;;;;ESF1;2.046.955.654;mg/m2/dag;;1;2021;;LM_20190916
592;;NL11;NL11_2_12;Westveen;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud van watergangen;SGBP3 2021-2027;2021-2027;De KEUR zou gebiedsspecifiek moeten toelaten dat watergangen minder frequent of niet worden geschoond, om flora en fauna te sparen in poldersloten of om verlanding toe te laten in natuurgebieden. De invulling hiervan wordt uitgewerkt in het beheer en onderhoudsprogramma van AGV. Bij vervangen van beschoeiing moet vegetatie zoveel mogelijk worden gespaard.;S06;MA;;;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;geen investering maar operationele kosten;;;;;Macrofauna_Overige Waterflora_Vis;0;1;0;0;0;0;;;voor planadvies, jurist, verwerken KEUR;Instrumentele maatregel;;bestuurlijk vastgesteld;Gemeente De Ronde Venen en Nieuwkoop, Provincie Utrecht en Zuid-Holland;Beheer en onderhoudsprogramma;;;ESF4, ESF6;1;1/0;;0;2027;;GH_20191205
324;;NL11;NL11_2_12;Westveen;;Natuurvriendelijk onderhoud van lijnvormige secundaire watergangen: agrarisch waterbeheer;SGBP3 2021-2027;2021-2027;Hier vallen maatregelen uit agrarisch waterbeheer en het landbouwportaal onder: o.a. afrastering, drinkbakken voor veedrenking, minder frequent maaien. De beheerpakketten ‘baggerspuiten’ en ‘ecologisch slootschonen’ sluiten hier goed op aan. Beide beheerpakketten focussen op werken in ‘mozaïekvorm’, wat inhoudt dat niet alle watergangen in hetzelfde jaar gebaggerd of geschoond worden. Het is wenselijk dat de boeren hun watergangen volgens deze pakketten duurzaam gaan onderhouden. Sinds 2011 worden steeds meer watergangen gebaggerd met de baggerspuit. Ecologisch slootschonen gebeurt echter nog nauwelijks. Daarom wordt aanbevolen om te overwegen om het pakket ‘baggerspuiten’ verplicht te combineren met ‘ecologisch slootschonen’.;BE03;MW;;;km;;;Waterschap;Waterschap Amstel Gooi en Vecht;;;;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden EMERS en SUBMERS;;bestuurlijk vastgesteld;Waterschap Amstel Gooi en Vecht;Programma agrarisch waterbeheer;;;ESF6;1;1/0;;0;2027;;GH_20191205
589;;NL11;NL11_2_12;Westveen;;Afplaggen voedselrijke percelen;SGBP3 2021-2027;;Dit is alleen zinvol als in de watergangen op diepte (>35 cm) zijn. Waarschijnlijk wordt ijzer toegendient.;IM12;WB;;;n;;;Provincie;Provincie Zuid-Holland;;Actie GE: kosten obv t Slijk;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;bestuurlijke keuze provincie;Waterschap Amstel Gooi en Vecht;;Herinrichtingsplan Westveen;Barry Pieters;ESF1;;mg/m2/dag;;0;2027;;LM_20190916
590;;NL11;NL11_2_12;Westveen;;Ganzen structureel beheren door populatiebeperking;SGBP3 2021-2027;2021-2027;Een maatregel in alle WLen waar een sterke graasdruk op helofyten bestaat. Door ganzenbeheer krijgen met name rietoevers meer kans tot ontwikkeling te komen, wat belangrijk is voor de instandhouding van de populatie Grote Karekiet en andere moerasvogels (Natura2000-doel). De provincie neemt noodmaatregelen (afvangen van ruiende ganzen en plaatsen van rasters bij bedreigde rietkragen), vooruitlopend op een structurele aanpak. Bij de aanleg van natuurvriendelijke oevers is het belangrijk jonge aanplant te beschermen (bijvoorbeeld met gaas) tegen vraat.;BE08;MW;;;n;;;Provincie;Provincie Noord-Holland;;;;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Ganzen beheren;;bestuurlijke keuze provincie;;;SGBP3;;ESF6;1;1/0;;0;2027;;GH_20191205
591;;NL11;NL11_2_12;Westveen;;Intensivering van rietbeheer langs de oevers van alle plassen;SGBP3 2021-2027;2021-2027;Het gaat hier zowel om een eenmalige investering (aanbrengen bescherming tegen graas, verwijderen en afvoeren van bomen, infrastructurele aanpassingen zoals het aanleggen van een loswal en aanschaf boten) als om een uitbreiding van de stucturele financiering (SNL geld) voor een intensivering van het beheer en onderhoud, zodat hout beter verwijderd kan worden en takken kunnen worden afgevoerd. Natuurmonumenten werkt uit waar het van belang is rietoevers te herstellen en verbeteren, waar kansrijke locaties liggen (daar waar de graasdruk niet te groot is en legakkers stevig genoeg zijn), waar infrastructurele maatregelen nodig zijn en schat de kosten van investeringen en structureel geintensiveerd rietbeheer.;IN18;WB;;1;n;j;;Onbekend;Provincie Zuid-Holland;;ACTIE GE: kosten per ha vanaf het water, inclusief verweideren stammen. Klepelen en afzuigen jaarlijks tijdens de eerste 5 jaar. ACTIE Laura rekent strook 10m langsoevers* oeverlengte = hectare;;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Open landschap herstellen;;afweging financiele bijdrage: bestuurlijke keuze;Waterschap Amstel Gooi en Vecht;financiele dekking?;SGBP3;;ESF1, ESF2;;;;0;2027;;LM_20190916
593;;NL11;NL11_2_12;Westveen;;Voorkomen van nalevering uit de bodem;SGBP3 2021-2027;2021-2027;Dit is alleen zinvol als in de watergangen op diepte (>35 cm) zijn. Waarschijnlijk wordt ijzer toegendient.;IM12;WB;;3;n;j;;Onbekend;Geen;;Actie GE: kosten obv t Slijk;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;bestuurlijke keuze provincie;Waterschap Amstel Gooi en Vecht;SGBP3;Herinrichtingsplan Westveen;Barry Pieters;ESF1;3;mg/m2/dag;;0;2027;;LM_20190916
595;;NL11;NL11_2_12;Westveen;;Toepassen van ecologisch onderhoud bij oevers van hoofdwateren ;SGBP3 2021-2027;2021-2027;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen.  Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen in alle waterlichamen waar dit relevant is.;BE03;MW;;;km;;;Waterschap;Waterschap Amstel Gooi en Vecht;;geen investering maar operationele kosten;;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden AGV;;bestuurlijk vastgesteld;?;SGBP3;;;ESF6;1;1/0;;0;2027;;GH_20191205
596;;NL11;NL11_2_12;Westveen;;Verdiepen van watergangen in Westveen;SGBP3 2021-2027;2021-2027;Voordat de maatregel kan worden doorgevoerd moeten bronnen van baggeraanwas en de snelheid waarmee er opnieuw bagger ontstaat  onvoldoende bekend zijn. Er zijn mogelijk ook viswerende maatregelen nodig. Nu wordt er ingeschat dat vrijwel het gehele ondiepe areaal op diepte kan worden gebracht. In de praktijk kan het zijn dat dit niet mogelijk is (door loopzand, instabiliteit oevers of opbarstingsrisico's).;IN12;WB;;1;ha;j;;Onbekend;Provincie Zuid-Holland;;ACTIE Laura maakt schatting van m3 obv waterdiepte vergeleken met 35cm en oppervlak. Prijs m3 baggeren met spuit.;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton;0;0;0;0;0;0;;;;Op diepte brengen;;bestuurlijke keuze provincie en waterschap Amstel, Gooi en Vecht;Waterschap Amstel Gooi en Vecht;SGBP3;;;ESF4, ESF1;1;1/0;;0;2027;;
597;;NL11;NL11_2_12;Westveen;;Verplaatsen van de inlaat en waterbeheerbeheermaatregelen;SGBP3 2021-2027;2021-2027;Hiermee wordt een gradient gegenereerd.;IN12;WB;;;ha;;;Waterschap;Waterschap Amstel Gooi en Vecht;;;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;afweging kosten: bestuurlijke keuze;?;SGBP3;;;ESF1;0;mg/m2/dag;;0;2027;;
653;;NL11;NL11_2_12;Westveen;GEB-y;Maatregelen in de landbouw om nutriëntenbelasting op de waterlichamen te beperken;SGBP3 2021-2027;2021-2027;"Deze maatregel is relevant voor dit waterlichaam omdat veel watergangen eigendom zijn van agrariërs en grenzen aan agrarische percelen. De typen maatregelen zijn precisiebemesting, bodemverbetering en routemaatregelen (bufferzone). Hier vallen maatregelen onder die opgenomen zijn in agrarische beheerpakketten, investeringssubsidies maar ook vrijwillige maatregelen. We gaan samen met de landbouw een nieuwe stimuleringsregeling voor bovenwettelijke maatregelen nutriënten faciliteren. Vrijwillige maatregelen worden geagendeerd door een watermakelaar en gepresenteerd in studieclubs. Op https://maatregelen-op-de-kaart.nmi-agro.nl/ kan per perceel worden opgezocht welke maatregelen het meest uitvoerbaar en nuttig zijn. Er wordt daarbij onderscheid gemaakt in maatregelen voor een goede bodem, een duurzame bemesting (precisielandbouw), waterbeheer en end-of-pipe maatregelen.
Deze maatregel leidt tot 4% reductie van fosforbelasting naar polderwater, voor een belangrijk deel als gevolg van een grotere retentie door een grotere waterdiepte (meer slootonderhoud) en een afname van meststofverliezen. ";BR01;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;investeringen in groen-blauwe diensten 700 k€/jaar, ‘Waterdiepte op Maat’ met jaarbudget van 700 k€ vanaf 2021.;;;KTM2;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;bestuurlijk vastgesteld;DAW, agrarische collectieven;Programma agrarisch waterbeheer, waterdiepte op maat;;;ESF1;0.141605822;mg/m2/dag;NMI, 2019;0;2027;;LM_20190916
684;;NL11;NL11_2_12;Westveen;;Natuurvriendelijk onderhoud van lijnvormige secundaire watergangen: instrumenteel;SGBP3 2021-2027;2021-2027;Hier vallen instrumentele maatregelen onder: beheer en onderhoudsprogramma AGV/ KEUR AGV. In KEURregels moeten minder frequent schonen toestaan. Dit is een maatregel in meerdere waterlichamen waar dit relevant is.;BE03;MW;;;km;;;Waterschap;Waterschap Amstel Gooi en Vecht;;;;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden EMERS en SUBMERS;;bestuurlijk vastgesteld;Waterschap Amstel Gooi en Vecht;Programma agrarisch waterbeheer;;;ESF6;1;1/0;;0;2027;;GH_20191205
241;71357;NL11;NL11_3_7;Wijde Blik;91124;Realiseren P-reductie rwzi Horstermeer (autonoom);SGBP1 2009-2015;2009-2015;Het gaat om het realiseren van maatregelen om de rwzi aan de wettelijke lozingseisen te laten voldoen. Verbetert waterkwaliteit van de Vecht, dat ingelaten wordt via Hilversums Kanaal.;IM01;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=10500000.00|Beheer en Onderhoud per planperiode=0.00;NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;P-belasting verlagen;;uitgevoerd;geen;;;;ESF1;0;mg/m2/dag;;1;2016;NL11_3_7;LM_20190916
242;71380;NL11;NL11_3_7;Wijde Blik;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;SGBP1 2009-2015;2009-2015;Een gebiedsbrede maatregel in alle waterlichamen;BE03;MW;;30;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;;;;;Macrofauna_Overige Waterflora_Vis;0;0;325;0;0;0;;;;Natuurvriendelijk onderhouden EMERS;;uitgevoerd;geen;;;;ESF4;0;1/0;;1;2016;NL11_3_7;LM_20190916
243;76517;NL11;NL11_3_7;Wijde Blik;91009;Aanpassen RWZI Horstermeer (kwaliteit effluent verdergaand verbeteren na evaluatie);SGBP2 2015-2021;2015-2021;;IM01;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_95|NL_VOG_95;;KTM1;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;P-belasting verlagen;;uitgevoerd;geen;;;;ESF1;0;mg/m2/dag;;1;2016;NL11_3_7;LM_20190916
244;76548;NL11;NL11_3_7;Wijde Blik;KH-xx;Beperken fosfaatbelasting Hilversums Kanaal;SGBP2 2015-2021;2015-2021;Deze maatregel wordt uitgevoerd in waterlichaam Kortenhoefse Plassen, maar heeft ook effect voor waterlichaam Wijde Blik: dit is de defos van Kerkelanden en Haven Hilversum (waarschijnlijk beide bronnen gelijktijdig in het kanaal gezuiverd). SGBP2 start het meetplan om te bepalen hoe deze maatregel kan worden uitgevoerd. Uitvoering zal pas in SGBP3 zijn.;IM12;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_95|NL_VOG_95;;NL_KTM2A;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;1;0;0;;;;P-belasting verlagen;;gefaseerd;geen;;;;ESF1;1;mg/m2/dag;;1;2020;NL11_3_7;LM_20190916
245;76576;NL11;NL11_3_7;Wijde Blik;V-xx;Beperken fosfaatbelasting rwzi Utrecht (autonoom);SGBP2 2015-2021;2015-2021;Deze maatregel wordt genomen in waterlichaam Vecht, maar heeft ook een positief effect voor Molenpolder en Tienhoven en Wijde Blik. ;IM01;MW;;1;n;j;;Waterschap;HDSR;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_95|NL_VOG_95;;KTM1;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;1;0;0;0;;;;P-belasting verlagen;;uitgevoerd;Waterschap Amstel Gooi en Vecht;;;;ESF1;0.010392532;mg/m2/dag;;1;2021;NL11_3_7;LM_20190916
246;76541;NL11;NL11_3_7;Wijde Blik;GEB-y;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1;SGBP2 2015-2021;2015-2021;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;BR01;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_95|NL_VOG_95|NL_HAB_83;;KTM2;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;1;0;0;0;0;;;;P-belasting verlagen;;in uitvoering;DAW, agrarische collectieven, studieclubs, bedrijven;;;;ESF1;0;mg/m2/dag;NMI, 2019;1;2021;NL11_3_7;LM_20190916
248;76516;NL11;NL11_3_7;Wijde Blik;91008;Uitvoeren beheermaatregelen oevers Wijde Blik;SGBP2 2015-2021;2015-2021;;BE06;WB;;1;km;j;;Geen overheid;Natuurmonumenten;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_95|NL_VOG_95;;NL_KTM6A;;Macrofauna_Overige Waterflora_Vis;0;0;1;0;0;0;;;;Oeverstructuur verbeteren;;uitgevoerd;;;;;ESF4;;% van overig ongeschikt;;1;2021;NL11_3_7;LM_20190916
629;;NL11;NL11_3_7;Wijde Blik;;Kleinere maximumhoeveelheid toestaan voor het onttrekken en lozen van water aan of op oppervlaktewateren;SGBP3 2021-2027;2021-2027;Zonder vergunning of melding maximaal 500 m³ (500.000 liter) water per uur uit boezemwater halen. Dit zijn rivieren of kanalen die hoger liggen dan het land achter de dijk. Voor wateren zoals grachten en ander water in de stad geldt een maximum van 120 m³ per uur. Nabij (in hetzelfde peilvak) diepe plassen en kleine ondiepe plassen willen we ontrekkingen zoveel mogelijk voorkomen, door een altervnatieve locatie te zoeken in een ander peilvak. Kan het niet anders dan is een maximum van 20 m³ per uur (dit is nog steeds een vergelijkbare hoeveelheid als het inlaatdebiet van b.v. de Gaasperplas) toegestaan.;G04;MW;;;-;;;Waterschap;Waterschap Amstel Gooi en Vecht;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;Instrumentele maatregel;niet meegenomen in doelafleiding;aanpassen beleid KEUR: bestuurlijke keuze;Waterschap Amstel Gooi en Vecht;SGBP3;;;ESF1;0;mg/m2/dag;;0;2027;;LM_20200318
601;;NL11;NL11_3_7;Wijde Blik;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud van watergangen;SGBP3 2021-2027;2021-2027;De KEUR zou gebiedsspecifiek moeten toelaten dat watergangen minder frequent of niet worden geschoond, om flora en fauna te sparen in poldersloten of om verlanding toe te laten in natuurgebieden. De invulling hiervan wordt uitgewerkt in het beheer en onderhoudsprogramma van AGV. Bij vervangen van beschoeiing moet vegetatie zoveel mogelijk worden gespaard.;S06;MA;;;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;geen investering maar operationele kosten;;;;;Macrofauna_Overige Waterflora_Vis;0;1;0;0;0;0;;;voor planadvies, jurist, verwerken KEUR;Instrumentele maatregel;;bestuurlijk vastgesteld;Gemeente Stichtse Vecht en Wijdemeren, Provincie Noord-Holland en Utrecht;Beheer en onderhoudsprogramma;;;ESF4, ESF6;1;1/0;;0;2027;NL11_3_7;GH_20191205
